crawl_date,source,url,alt_text,instructions,url_text
2.02305E+13,https://enslaved.org/,https://enslaved.org/assets/images/enslaved-header-bg6.jpg,Enslaved Background Image,Click image for more details.,assets
2.02305E+13,https://enslaved.org/,https://enslaved.org/assets/images/enslaved-header-bg.jpg,Story Image,Click image for more details.,assets
2.02305E+13,https://enslaved.org/,https://enslaved.org/assets/images/enslaved-header-bg7.jpg,Story Image,Click image for more details.,assets
2.02305E+13,https://enslaved.org/,https://enslaved.org/assets/images/market-stand.jpg,Project Image of Market Stand,Click image for more details.,assets
2.02305E+13,https://enslaved.org/,https://enslaved.org//assets/images/news-marylandtoday.png,Maryland Today Logo,Click image for more details.,assets
2.02305E+13,https://enslaved.org/,https://enslaved.org/assets/images/Footer-ucr.png,"University of California, Riverside Logo",Click image for more details.,assets
2.02305E+13,https://enslaved.org/search/,https://enslaved.org/assets/images/enslaved-header-bg5.jpg,Enslaved Background Image,Click image for more details.,assets
2.02305E+13,https://enslaved.org/explore/places/,https://enslaved.org/assets/images/enslaved-header-bg4.jpg,Enslaved Background Image,Click image for more details.,assets
2.02305E+13,https://enslaved.org/explore/sources/,https://enslaved.org/assets/images/enslaved-header-bg2.jpg,Enslaved Background Image,Click image for more details.,assets
2.02305E+13,https://enslaved.org/explore/visualizations/,https://enslaved.org/assets/images/enslaved-header-bg3.jpg,Enslaved Background Image,Click image for more details.,assets
2.02305E+13,https://www.icpsr.umich.edu/web/ICPSR/studies/7423,https://www.icpsr.umich.edu/pages/ICPSR/images/icpsr-logo-blue.png,ICPSR,Click image for more details.,pages
2.02305E+13,https://www.icpsr.umich.edu/web/ICPSR/studies/7423,https://pcms.icpsr.umich.edu/pcms/resources/images/ajax_loader_tiny.gif,,Click image for more details.,pcms
2.02305E+13,http://community.village.virginia.edu/usct/,http://community.village.virginia.edu/usct/sites/all/themes/sub_bartik_nau/logo.png,Home,Click image for more details.,usct
2.02305E+13,http://community.village.virginia.edu/usct/,http://community.village.virginia.edu/usct/sites/default/files/homepage.jpg,Black Virginians in Blue,Click image for more details.,usct
2.02305E+13,http://community.village.virginia.edu/usct/,http://community.village.virginia.edu/usct/sites/default/files/media/images/hilight_preview_01_0.jpg,Atlas views,Click image for more details,usct
2.02305E+13,http://community.village.virginia.edu/usct/,http://community.village.virginia.edu/usct/sites/default/files/media/images/hilight_preview_03.jpg,Essays and Stories,Click image for more details,usct
2.02305E+13,http://community.village.virginia.edu/usct/,http://community.village.virginia.edu/usct/sites/default/files/media/images/hilight_preview_02.jpg,Search Documents,Click image for more details,usct
2.02305E+13,http://community.village.virginia.edu/usct/,http://community.village.virginia.edu/usct/sites/all/themes/sub_bartik_nau/images/footer-uva.png,UVA,Click image for more details,usct
2.02305E+13,http://community.village.virginia.edu/usct/,http://community.village.virginia.edu/usct/sites/all/themes/sub_bartik_nau/images/footer-nau.png,NAU,Click image for more details,usct
2.02305E+13,http://community.village.virginia.edu/usct/,http://community.village.virginia.edu/usct/sites/all/themes/sub_bartik_nau/images/sponsors/nau-mark.png,Nau Center for Civil War History,Click image for more details,usct
2.02305E+13,https://repository.upenn.edu/mead/44/,http://resources.bepress.com/assets/cc-by-3.0-88x31.png,Creative Commons License,Click image for more details,assets
2.02305E+13,https://www.slavesocieties.info/,"https://static.wixstatic.com/media/b0cda2_133af11b51a949b58c7d4ba6f596acd6~mv2.jpg/v1/fill/w_354,h_98,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/Slave%20Societies_Logos_Grayscale_Horizontal.jpg",Slave Societies_Logos_Grayscale_Horizontal.jpg,Click image for more details,media
2.02305E+13,https://www.slavesocieties.info/,"https://static.wixstatic.com/media/b0cda2_a5ae0a1e5e2e48248d9dca0474220202~mv2.jpg/v1/fill/w_980,h_511,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/Los_tres_mulatos_de_Esmeraldas_(S%C3%A1nchez_Galque).jpg",Los_tres_mulatos_de_Esmeraldas_(Sánchez_Galque).jpg,Click image for more details,media
2.02305E+13,https://www.slavesocieties.info/,"https://static.wixstatic.com/media/b0cda2_33a38b4916d644edb5407cad6a4a193b~mv2.jpg/v1/fill/w_305,h_244,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/ab5015e23758580daa478d13b8ade869_edited.jpg",ab5015e23758580daa478d13b8ade869_edited.jpg,Click image for more details,media
